datetime,value
2018-04-21 14:08:30.761,offline
2018-04-21 14:08:40.761,offline
2018-04-21 14:08:50.761,offline
2018-04-21 14:09:00.761,offline
2018-04-21 14:09:10.761,offline
2018-04-21 14:09:20.761,offline
2018-04-21 14:09:30.761,offline
2018-04-21 14:09:40.761,offline
2018-04-21 14:09:50.761,offline
2018-04-21 14:10:00.761,offline
2018-04-21 14:10:10.761,offline
2018-04-21 14:10:20.761,offline
2018-04-21 14:10:30.761,offline
2018-04-21 14:10:40.761,offline
2018-04-21 14:10:50.761,offline
2018-04-21 14:11:00.761,offline
2018-04-21 14:11:10.761,offline
2018-04-21 14:11:20.761,offline
2018-04-21 14:11:30.761,offline
2018-04-21 14:11:40.761,offline
2018-04-21 14:11:50.761,offline
2018-04-21 14:12:00.761,offline
2018-04-21 14:12:10.761,offline
2018-04-21 14:12:20.761,offline
2018-04-21 14:12:30.761,offline
2018-04-21 14:12:40.761,offline
2018-04-21 14:12:50.761,offline
2018-04-21 14:13:00.761,offline
2018-04-21 14:13:10.761,offline
2018-04-21 14:13:20.761,offline
2018-04-21 14:13:30.761,offline
2018-04-21 14:13:40.761,offline
2018-04-21 14:13:50.761,offline
2018-04-21 14:14:00.761,offline
2018-04-21 14:14:10.761,offline
2018-04-21 14:14:20.761,offline
2018-04-21 14:14:30.761,offline
2018-04-21 14:14:40.761,offline
2018-04-21 14:14:50.761,offline
2018-04-21 14:15:00.761,offline
2018-04-21 14:15:10.761,offline
2018-04-21 14:15:20.761,offline
2018-04-21 14:15:30.761,offline
2018-04-21 14:15:40.761,offline
2018-04-21 14:15:50.761,offline
2018-04-21 14:16:00.761,offline
2018-04-21 14:16:10.761,offline
2018-04-21 14:16:20.761,offline
2018-04-21 14:16:30.761,offline
2018-04-21 14:16:40.761,offline
2018-04-21 14:16:50.761,offline
2018-04-21 14:17:00.761,offline
2018-04-21 14:17:10.761,offline
2018-04-21 14:17:20.761,offline
2018-04-21 14:17:30.761,offline
2018-04-21 14:17:40.761,offline
2018-04-21 14:17:50.760,offline
2018-04-21 14:18:00.761,offline
2018-04-21 14:18:10.761,offline
2018-04-21 14:18:20.761,offline
2018-04-21 14:18:30.761,offline
2018-04-21 14:18:40.761,offline
2018-04-21 14:18:50.761,offline
2018-04-21 14:19:00.761,offline
2018-04-21 14:19:10.761,offline
2018-04-21 14:19:20.761,offline
2018-04-21 14:19:30.761,offline
